province,year,month,mean_lights
Biliran,2012,8,0.039359095
Leyte,2012,8,0.066562187
Saranggani,2012,8,0.008716405
South Cotabato,2012,8,0.206387284
Compostela,2012,8,0.044764823
Davao del Norte,2012,8,0.064449928
Zamboanga Sibugay,2012,8,-0.00678857
Zamboanga Del Sur,2012,8,0.072201877
Dinagat,2012,8,0.096052553
Surigao Del Norte,2012,8,0.029376126
Maguindanao,2012,8,0.082745748
Shariff Kabunsuan,2012,8,0.051535945
Abra,2012,8,0.058052955
Apayao,2012,8,0.004069271
Benguet,2012,8,0.018240262
Ifugao,2012,8,-0.01267946
Kalinga,2012,8,0.002665503
Mountain Province,2012,8,0.00575431
Metropolitan Manila,2012,8,4.454999622
Ilocos Norte,2012,8,0.078909065
Ilocos Sur,2012,8,0.04584434
La Union,2012,8,0.001646856
Pangasinan,2012,8,0.01950057
Batanes,2012,8,0.068518174
Cagayan,2012,8,0.011835711
Isabela,2012,8,0.005994386
Nueva Vizcaya,2012,8,-0.01335127
Quirino,2012,8,-6.15E-04
Albay,2012,8,0.142365085
Camarines Norte,2012,8,0.130539626
Camarines Sur,2012,8,0.166324035
Catanduanes,2012,8,0.10055539
Masbate,2012,8,0.043941463
Sorsogon,2012,8,0.108430999
Aklan,2012,8,0.140924009
Antique,2012,8,0.071320048
Capiz,2012,8,0.108194906
Negros Occidental,2012,8,0.077412526
Bohol,2012,8,0.032483069
Cebu,2012,8,0.06614519
Negros Oriental,2012,8,0.055982377
Siquijor,2012,8,0.003559939
Eastern Samar,2012,8,0.027557353
Northern Samar,2012,8,0.044405502
Southern Leyte,2012,8,0.08611596
Samar,2012,8,0.052183032
Agusan Del Norte,2012,8,-0.019452482
Agusan Del Sur,2012,8,-0.016461127
Surigao Del Sur,2012,8,-0.010499376
Lanao Del Sur,2012,8,0.107695676
Sulu,2012,8,0.045671223
Tawi-tawi,2012,8,0.009456935
Basilan,2012,8,-0.030542571
Zamboanga Del Norte,2012,8,0.002442449
Bukidnon,2012,8,0.028733385
Camiguin,2012,8,0.029413361
Misamis Occidental,2012,8,-0.010554759
Misamis Oriental,2012,8,-0.00444598
Lanao Del Norte,2012,8,0.022153948
Davao Del Sur,2012,8,0.207984116
Davao Oriental,2012,8,0.007041199
North Cotabato,2012,8,0.054717716
Sultan Kudarat,2012,8,0.054119335
Bataan,2012,8,0.393007006
Bulacan,2012,8,0.091724578
Nueva Ecija,2012,8,0.08821231
Pampanga,2012,8,0.264091148
Tarlac,2012,8,0.052984721
Zambales,2012,8,0.057125981
Aurora,2012,8,0.027268984
Batangas,2012,8,0.626747444
Cavite,2012,8,1.405612974
Laguna,2012,8,1.0802859
Quezon,2012,8,0.138733991
Rizal,2012,8,0.710355361
Marinduque,2012,8,0.123163845
Mindoro Occidental,2012,8,0.112954523
Mindoro Oriental,2012,8,0.088279194
Palawan,2012,8,0.081488278
Romblon,2012,8,0.103552939
Guimaras,2012,9,0.022600343
Iloilo,2012,9,0.033717086
Biliran,2012,9,0.093745595
Leyte,2012,9,0.09925863
Saranggani,2012,9,0.042262935
South Cotabato,2012,9,0.303596869
Compostela,2012,9,0.042813725
Davao del Norte,2012,9,0.150089413
Zamboanga Sibugay,2012,9,0.07912077
Zamboanga Del Sur,2012,9,0.181690995
Dinagat,2012,9,0.083235029
Surigao Del Norte,2012,9,0.076786172
Maguindanao,2012,9,0.074278124
Shariff Kabunsuan,2012,9,0.087590609
Abra,2012,9,0.094752779
Apayao,2012,9,0.089237959
Benguet,2012,9,0.310836734
Ifugao,2012,9,0.140903105
Kalinga,2012,9,0.112601035
Mountain Province,2012,9,0.109289917
Metropolitan Manila,2012,9,2.434842722
Ilocos Norte,2012,9,0.181156692
Ilocos Sur,2012,9,0.185449999
La Union,2012,9,0.214836393
Pangasinan,2012,9,0.156851059
Batanes,2012,9,0.118733748
Cagayan,2012,9,0.117706143
Isabela,2012,9,0.149586747
Nueva Vizcaya,2012,9,0.148650565
Quirino,2012,9,0.11885204
Albay,2012,9,0.002645344
