adm2_en,2000-09,2000-10,2000-11,2001-05,2001-06,2001-07,2001-09,2001-11,2001-12,2002-01,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2004-05,2004-06,2004-07,2004-11,2004-12,2005-03,2005-08,2005-09,2005-11,2006-05,2006-09,2006-10,2006-11,2006-12,2007-11,2008-05,2008-06,2008-08,2008-09,2009-05,2009-06,2009-07,2009-09,2009-10,2010-07,2010-10,2011-05,2011-07,2011-08,2011-09,2011-10,2011-12,2012-06,2012-08,2012-10,2012-12,2013-01,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2014-01,2014-02,2014-07,2014-09,2014-12,2015-01,2015-04,2015-05,2015-07,2015-08,2015-10,2015-12,2016-07,2016-09,2016-10,2016-11,2016-12,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-09,2018-10,2018-11,2019-07,2019-08,2019-11,2019-12,2020-05,2020-10,2020-11,2021-06,2021-09,2021-10,2021-12,2022-04,2022-08,2022-09,2022-10,2023-07,2023-08,2023-12,2024-05,2024-09,2024-10,2024-11
Lanao Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724,0,0,0,0.23847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanao Del Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548,0,0,0,0.14228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leyte,0,0,0.00344,0,0,0,0,0.00168,0.0014,0,0,0,0,0,0,0,0,0.03605,0,0,0,0,0,0.07147,0,0,0,0.08242,0,0,0,0.23763,0,0,0.48424,0,0,0,0.00892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.01208,0,0.00112,0,0,0,0,0.92422,0.00112,0,0,0,0.00604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37864,0,0,0,0.00112,0.09698,0,0.31541,0.00864,0,0,0,0,0,0,0,0,0,0
Maguindanao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marinduque,0,0.17755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09015,0,0,0,0,0,0.19885,0.18226,0,0.48748,0,0.00028,0,0.52703,0,0,0,0.0172,0,0,0.07792,0.06324,0,0,0,0,0,0,0,0,0,0.01032,0,0,0.00112,0,0,0,0,0,0,0,0,0,0.22984,0.00056,0,0,0,0,0,0.52085,0,0,0,0,0.37998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46914,0.15198,0.28857,0.24465,0.0014,0.07084,0,0,0,0,0,0.12186,0,0,0,0.11207,0,0,0
Masbate,0,0.18036,0,0,0,0,0,0.00632,0.00112,0,0,0,0,0,0,0,0,0.05629,0,0,0,0.08003,0,0.02059,0,0,0,0.18515,0.23636,0,0,0.36867,0.00028,0,0.73536,0,0,0,0.01924,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604,0.00576,0,0.00168,0,0,0,0,0,0.00056,0,0.17565,0,0.98564,0.02319,0,0,0,0,0,0.67817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98198,0.44202,0.31555,0.20643,0.00168,0.12727,0,0,0,0,0,0.07674,0,0,0,0.00372,0,0,0
Metropolitan Manila,0,0.40586,0.32667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74564,0,0,0,0,0,1.58347,0,0,0,0.01032,0,0.03112,0.50532,0.63348,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0,0,0,0,0,0,0,0.7615,0,0.20493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19528,0,0.99048,0.00308,0.21252,0,0,0,0,0,0.32727,0,0,0,0.57694,0,0,0
Misamis Occidental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0.32454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misamis Oriental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0,0,0,0.23847,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Province,0,0,0,0,0,0,0,0,0,0,0,0.02994,0,0.37864,0.13189,0,0,0.03563,0,0,0,0,0.23636,0,0,0,0,0,0,0.41827,0,0,0.22048,0.18269,0,0,0,0.13364,0,0,0,0.0394,0,0.88938,0.00576,0.04048,0,0.22013,0.18999,0,0,0,0,0,0,0,0,0.31393,0,0,0,0,0,0,0.06324,0,0,0.00028,0,0.03759,0,0.42031,0,0,0,0,0,0,0.02403,0,0.00084,0,0,0,0,0,0.31738,0,0,0,0.01012,0,0.00428,0.00056,0,0,0,0,0,0,0.06093,0,0,0,0,0,0,0.02263,0.12186,0.12535
Negros Occidental,0,0,0,0,0,0,0,0.00744,0.00196,0,0,0,0,0,0,0,0,0.02024,0,0,0,0,0,0.02059,0,0,0,0,0,0,0,0.06324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00864,0,0,0.00232,0.16378,0,0,0,0,0,0,0.73199,0.00084,0.00028,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68836,0,0,0,0,0,0,0,0,0,0,0
Negros Oriental,0,0,0,0,0,0,0,0.00196,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892,0,0,0,0.25997,0,0,0,0,0,0,0,0.00084,0,0,0,0.0078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49837,0,0,0,0,0,0,0,0,0,0,0
Northern Samar,0,0.20846,0.06422,0,0,0,0,0,0,0,0,0,0.00688,0,0,0,0,0.06648,0,0,0,0.00056,0,0,0,0,0,0.15114,0.78378,0,0,0.11446,0,0,0,0,0,0.00028,0.01236,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0.00056,0,0,0.0014,0,0,0,0,0,0,0,0.37534,0,0.87167,0.15289,0,0,0,0,0,1.02281,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0,0.63081,0.77647,0.08523,0,0.0014,0.1071,0,0,0,0,0,0.04617,0,0,0,0,0.00056,0,0
Nueva Ecija,0,0.06648,0.09149,0,0,0,0,0,0,0,0,0.04399,0,0,0,0,0,0,0,0,0,0.00028,0.12394,0,0,0,0,0,0.16568,0,0.57348,0,0,0.15676,0.3433,0,0,0.11333,0,0,0.00892,0,0.15837,0,0,0.04048,0,0.22013,0,0,0,0,0,0,0,0,0,0,0,0.25421,0,0,0,0,0,0,0,0,0,0,0,0.97987,0,0,0,0.46008,0,0,0.02059,0,0,0,0,0,0,0,0.09725,0,0,0,0,0,0.05024,0.00112,0.27185,0.00056,0.03036,0,0,0,0,0.57348,0.06655,0,0,0,0.08523,0,0.04062,0.6656
Nueva Vizcaya,0,0,0,0,0,0,0,0,0,0,0,0.04575,0,0.26622,0.04413,0,0,0.01356,0,0,0,0.00028,0.23636,0,0,0,0,0,0,0.49837,0.82642,0,0.12914,0.18269,0.05122,0,0,0.13364,0,0,0.00892,0.0158,0,0.6611,0,0.0506,0,0.36241,0.41827,0,0,0,0,0,0,0,0,0.58402,0,0.18226,0,0,0,0,0,0,0,0.00028,0,0,0,1.44269,0,0,0,0.46008,0,0,0.03106,0,0,0,0,0,0,0,0.31738,0,0,0,0,0,0.02993,0.00112,0.06324,0,0,0,0,0,0,0,0,0,0,0,0,0.03071,0.08124,0.97988
Mindoro Occidental,0,0.07434,0.00907,0,0,0,0,0.06114,0,0,0,0,0,0,0,0,0,0.04048,0,0,0,0.10056,0,0.00204,0,0,0,0.26307,0.11446,0,0.39016,0.75532,0.00084,0,0,0,0,0,0.02408,0,0,0.10273,0.09513,0,0,0,0,0,0,0,0,0,0.0172,0,0,0.00112,0,0,0,0,0,0,0.00028,0,0,0.12142,0,0,0,0,0,0,1.37285,0,0,0,0.01384,0.42846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89128,0,0.28857,0.09316,0.00168,0.07084,0,0,0,0,0,0,0,0,0,0.04624,0,0,0
Mindoro Oriental,0,0.09823,0,0,0,0,0,0.04083,0,0,0,0,0,0,0,0,0,0.04048,0,0,0,0.06655,0,0.00204,0,0,0,0.21916,0.06324,0,0.54537,0.33255,0.00056,0,0.40309,0,0,0,0.02064,0,0,0.08242,0.11446,0,0,0,0,0,0,0,0,0,0.01376,0,0,0.00112,0,0,0,0,0,0,0,0,0,0.17236,0,0,0,0,0,0,1.07648,0,0,0,0.00028,0.52226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67002,0.06422,0.38476,0.09288,0.00196,0.07084,0,0,0,0,0,0.08124,0,0,0,0.07806,0,0,0
Palawan,0,0,0,0,0,0,0,0.12916,0.00084,0,0,0,0,0.00028,0,0,0,0.06648,0,0,0,0.13246,0,0.00548,0,0,0,0,0,0,0,0.32651,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01952,0,0,0.00688,0.50561,0.0014,0,0,0,0,0,0.45656,0.00028,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02965,0,0,0,0,0,0.25836,0.00028,0,0,0,0.00056,0,0,0,0.33944,0,0,0,0,0,0,0.79649,0,0,0,0,0,0,0,0,0,0,0
Pampanga,0,0.09458,0.06092,0,0,0,0,0,0,0,0,0.02734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16568,0,0,0,0,0,0.46724,0,0,0,0,0,0.01208,0.08242,0.19238,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0.15802,0,0,0,0.09619,0,0,0,0,0,0,0,0.00864,0.06422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02965,0.00056,0.3478,0.00084,0.0506,0,0,0,0,0.3452,0.06655,0,0,0,0,0,0,0
Pangasinan,0,0.0506,0.00548,0.00028,0,0,0,0,0,0,0,0.09431,0,0,0.02593,0,0,0,0,0,0,0,0.12394,0,0,0,0,0,0.15366,0,0.72869,0,0,0.2623,0.28147,0,0,0.18528,0,0,0.01208,0.00056,0,0.44082,0,0.03036,0,0.36403,0.46914,0,0,0,0,0,0,0,0,0.12394,0,0.15802,0,0,0,0,0,0,0,0,0,0,0,0.67979,0,0,0,0.58402,0,0,0.01391,0,0,0,0,0,0,0,0.16527,0,0,0,0,0,0.01412,0.0014,0.14116,0.00576,0.04048,0,0,0,0,0.27915,0.05636,0,0,0,0,0,0.16248,0.09725
Quezon,0,0.2547,0.19148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15226,0,0,0,0,0.00056,0.23947,0.42987,0,0.61142,0,0.00028,0,0.49576,0,0,0,0.02408,0,0.00892,0.22048,0.33031,0,0.00864,0.06283,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0.18226,0,0,0,0.71225,0,0.30727,0.00316,0,0,0,0,0.00548,0.46563,0,0,0,0,0.63292,0.00688,0,0,0,0,0,0,0,0,0,0,0,0,0.57348,0.23749,0.19266,1.07171,0.00168,0.09108,0,0,0,0,0.68836,0.15798,0,0,0,0.32131,0.03247,0,0
Quirino,0,0,0,0,0,0,0,0,0,0,0,0.02994,0,0.42143,0.03401,0,0.05643,0.03387,0,0,0,0.00028,0.37864,0,0,0,0,0,0,0.81378,0.48122,0,0.17305,0.13147,0,0,0,0.10273,0,0,0.00548,0.01896,0,0,0.01236,0.0506,0,0.51762,0.68836,0,0,0,0,0,0,0,0,0.46008,0,0.18226,0,0,0,0,0,0,0,0.00548,0,0.03036,0,1.1679,0,0,0,0.27009,0,0,0.02762,0,0,0,0,0,0,0,0.43858,0,0,0,0,0,0.01384,0.00112,0,0,0,0,0,0,0.02031,0,0,0,0,0,0,0.04083,0.12186,0.85798
Rizal,0,0.11847,0.08973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18641,0,0,0,0,0,0.37182,0,0,0,0.00688,0,0.00892,0.12633,0.23032,0,0,0,0,0,0,0,0,0,0,0,0,0.00084,0,0,0,0,0,0,0,0.33227,0,0.12058,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09359,0,0.36473,0.00112,0.06072,0,0,0,0,0,0.11736,0,0,0,0.16301,0,0,0
